title,count,mean,std,min,25%,50%,75%,max
郁林海景花园,19.0,5004.0,758.0,3708.0,4538.0,5027.0,5630.0,6125.0
部居逸阁,6.0,13174.0,1810.0,10761.0,11925.0,13149.0,14721.0,15224.0
都市阳光,3.0,6352.0,1644.0,4989.0,5438.0,5888.0,7033.0,8178.0
都悦里,94.0,7405.0,849.0,5300.0,6844.0,7630.0,8033.0,9431.0
醒港春园,1.0,4598.0,,4598.0,4598.0,4598.0,4598.0,4598.0
里程巷,36.0,10799.0,1231.0,8285.0,9966.0,10940.0,11738.0,12776.0
金一街,1.0,23571.0,,23571.0,23571.0,23571.0,23571.0,23571.0
金丰大厦,18.0,10344.0,770.0,8797.0,9792.0,10218.0,11053.0,11639.0
金二小学北,24.0,23316.0,2907.0,17049.0,22225.0,23070.0,24877.0,29267.0
金二小学南,16.0,22768.0,3150.0,18117.0,20806.0,21518.0,25941.0,28361.0
金二街,3.0,19021.0,2578.0,16053.0,18180.0,20307.0,20504.0,20702.0
金信陶然居,57.0,9732.0,1035.0,8005.0,9145.0,9464.0,10037.0,13555.0
金元小区,38.0,8722.0,955.0,6058.0,8334.0,8808.0,9432.0,10489.0
金北花园小区,26.0,9433.0,1097.0,6929.0,8787.0,9464.0,10233.0,10976.0
金华小区一期,47.0,8332.0,2049.0,4271.0,6766.0,8975.0,9854.0,13188.0
金华小区三期,12.0,9953.0,931.0,8228.0,9420.0,9842.0,10558.0,11741.0
金华小区二期,15.0,8979.0,1935.0,5574.0,7784.0,9242.0,10432.0,11983.0
金和苑,8.0,22964.0,2067.0,20190.0,21678.0,22842.0,23439.0,26894.0
金四街,6.0,20671.0,2214.0,16806.0,20014.0,20998.0,22385.0,22690.0
金园名城,12.0,8680.0,899.0,6965.0,8245.0,8790.0,9021.0,10510.0
金地保利墅苑风华,5.0,26892.0,4565.0,19978.0,25896.0,26733.0,29931.0,31921.0
金地拾贰坊,10.0,10137.0,1605.0,8480.0,9026.0,9670.0,10802.0,13728.0
金地新里程,71.0,7288.0,1277.0,5000.0,6263.0,7476.0,8138.0,10769.0
金地檀境,91.0,15580.0,2105.0,12396.0,14142.0,15148.0,16422.0,22576.0
金地檀溪,41.0,18362.0,2680.0,13983.0,16196.0,17771.0,20288.0,24066.0
金地海景,1.0,14495.0,,14495.0,14495.0,14495.0,14495.0,14495.0
金地自在城,9.0,15408.0,5209.0,9075.0,13841.0,14118.0,15593.0,28187.0
金地艺境,110.0,13892.0,1359.0,11113.0,12931.0,13861.0,14602.0,20282.0
金安街,1.0,21900.0,,21900.0,21900.0,21900.0,21900.0,21900.0
金家街,8.0,21272.0,1885.0,18391.0,20148.0,21259.0,21900.0,24333.0
金宸国际,40.0,17860.0,2970.0,12220.0,15516.0,18012.0,19765.0,24767.0
金宸联郡,39.0,9444.0,757.0,7861.0,9099.0,9491.0,9713.0,11627.0
金寓花园一期,7.0,16486.0,1181.0,14801.0,15847.0,16189.0,17187.0,18341.0
金寓花园二期,3.0,20810.0,1437.0,19734.0,19994.0,20253.0,21348.0,22442.0
金寓花园五期,2.0,20952.0,750.0,20422.0,20687.0,20952.0,21217.0,21482.0
金山名苑,9.0,9663.0,467.0,8653.0,9562.0,9733.0,9948.0,10211.0
金山小区,52.0,8218.0,1205.0,5255.0,7542.0,8248.0,9162.0,10299.0
金山苑小区,12.0,8842.0,1218.0,6604.0,8287.0,8874.0,9771.0,10299.0
金川家园,33.0,13596.0,2263.0,6732.0,12520.0,13395.0,14558.0,18521.0
金州东山小区,15.0,7683.0,771.0,5715.0,7506.0,7879.0,8166.0,8554.0
金州东山路小区,12.0,7510.0,1139.0,5493.0,6638.0,7936.0,8320.0,8808.0
金州福佳新天地广场,100.0,8954.0,994.0,6145.0,8420.0,8890.0,9609.0,11989.0
金广东海岸,41.0,22269.0,1494.0,19545.0,21288.0,22083.0,22858.0,26875.0
金座商厦,2.0,7894.0,640.0,7441.0,7667.0,7894.0,8120.0,8346.0
金座庄园,1.0,9998.0,,9998.0,9998.0,9998.0,9998.0,9998.0
金悦湾,5.0,6847.0,1676.0,5699.0,5761.0,5996.0,7116.0,9665.0
金悦湾二期,4.0,7134.0,580.0,6646.0,6786.0,6966.0,7314.0,7957.0
金星小区,12.0,8406.0,1236.0,5311.0,8182.0,8646.0,9009.0,9975.0
金普广场,1.0,7936.0,,7936.0,7936.0,7936.0,7936.0,7936.0
金普广场三期,6.0,7095.0,711.0,6132.0,6730.0,6970.0,7584.0,8062.0
金普广场二期,9.0,7358.0,376.0,6833.0,7105.0,7441.0,7503.0,8048.0
金普广场五期,2.0,7265.0,898.0,6630.0,6948.0,7265.0,7582.0,7900.0
金普广场四期,2.0,7440.0,715.0,6935.0,7188.0,7440.0,7693.0,7946.0
金栾小区,2.0,6758.0,1630.0,5605.0,6181.0,6758.0,7334.0,7910.0
金洋小区,2.0,6072.0,1155.0,5256.0,5664.0,6072.0,6481.0,6889.0
金海人家,13.0,7412.0,803.0,6579.0,6766.0,7327.0,7854.0,9361.0
金海嘉园,3.0,9335.0,522.0,8978.0,9036.0,9094.0,9514.0,9934.0
金海国际花园,97.0,8591.0,784.0,7117.0,8208.0,8603.0,8985.0,13472.0
金海明珠,41.0,10309.0,1695.0,8371.0,9594.0,10045.0,10916.0,19140.0
金海楼苑,1.0,17817.0,,17817.0,17817.0,17817.0,17817.0,17817.0
金海湾,11.0,6394.0,1299.0,3463.0,5874.0,6480.0,7235.0,7819.0
金海湾2期,11.0,7121.0,705.0,6015.0,6606.0,6990.0,7676.0,8189.0
金海花园东园,18.0,14359.0,2563.0,8655.0,13962.0,14816.0,15894.0,17682.0
金海花园西园,42.0,13185.0,1885.0,9587.0,11774.0,13762.0,14354.0,16736.0
金海蓝湾,42.0,8737.0,853.0,7016.0,8138.0,8854.0,9170.0,10965.0
